Genus,Prime,Log2P,Samples,RejectCount,Rate,Theoretical_1_P
2,1031,10.01,100000,319,0.00319000,0.00096993
2,2053,11.00,100000,88,0.00088000,0.00048709
2,4099,12.00,100000,62,0.00062000,0.00024396
2,8209,13.00,100000,29,0.00029000,0.00012182
2,16411,14.00,100000,15,0.00015000,0.00006093
2,32771,15.00,100000,5,0.00005000,0.00003051
2,65537,16.00,100000,3,0.00003000,0.00001526
2,131101,17.00,100000,1,0.00001000,0.00000763
2,262147,18.00,100000,1,0.00001000,0.00000381
3,1031,10.01,100000,216,0.00216000,0.00096993
3,2053,11.00,100000,91,0.00091000,0.00048709
3,4099,12.00,100000,48,0.00048000,0.00024396
3,8209,13.00,100000,19,0.00019000,0.00012182
3,16411,14.00,100000,13,0.00013000,0.00006093
3,32771,15.00,100000,2,0.00002000,0.00003051
3,65537,16.00,100000,7,0.00007000,0.00001526
3,131101,17.00,100000,0,0.00000000,0.00000763
3,262147,18.00,100000,1,0.00001000,0.00000381
